phy_lbr,tot_emp,women,white,black,asian,hispanic
Beverage_and_tobacco_products_manufacturing,318,26.4,73.4,17.7,3.5,15.4
Beverage_manufacturing,301,27.1,74.0,16.9,3.4,16.2
Tobacco_manufacturing,18,0,0,0,0,0
Textiles_apparel_and_leather_manufacturing,567,52.9,78.6,9.5,8.9,29.6
Fiber_yarn_and_thread_mills,11,0,0,0,0,0
Fabric_mills_except_knitting_mills,90,40.0,77.1,14.1,2.5,18.6
Textile_and_fabric_finishing_and_coating_mills,16,0,0,0,0,0
Carpet_and_rug_mills,71,34.0,90.0,8.5,1.5,16.4
Textile_product_mills_except_carpet_and_rug,87,52.2,76.8,9.9,6.1,21.5
Knitting_fabric_mills_and_apparel_knitting_mills,15,0,0,0,0,0
Cut_and_sew_apparel_manufacturing,215,66.5,72.8,8.5,16.8,47.1
Apparel_accessories_and_other_apparel_manufacturing,11,0,0,0,0,0
Footwear_manufacturing,26,0,0,0,0,0
Leather_tanning_and_finishing_and_other_allied_products_manufacturing,25,0,0,0,0,0
Paper_manufacturing_and_printing,875,29.3,85.1,8.5,3.7,15.6
Pulp_paper_and_paperboard_mills,204,17.0,85.2,11.4,1.9,9.1
Paperboard_container_manufacturing,107,30.9,75.0,16.5,1.9,23.1
Miscellaneous_paper_and_pulp_products,71,19.6,83.4,10.0,3.5,17.4
Printing_and_related_support_activities,492,35.5,87.5,5.3,4.9,16.4
Petroleum_and_coal_products_manufacturing,193,16.0,75.1,14.2,6.7,19.7
Petroleum_refining,163,14.8,74.5,15.4,7.3,21.4
Miscellaneous_petroleum_and_coal_products,29,0,0,0,0,0
Chemicals_manufacturing,1426,35.7,79.4,10.5,7.8,13.0
Resin_synthetic_rubber_and_fibers_and_filaments_manufacturing,175,25.3,84.6,9.0,2.7,20.7
Agricultural_chemical_manufacturing,37,0,0,0,0,0
Pharmaceutical_and_medicine_manufacturing,563,48.6,74.5,9.8,13.7,10.7
Paint_coating_and_adhesive_manufacturing,78,18.2,86.2,10.2,1.2,16.4
Soap_cleaning_compound_and_cosmetics_manufacturing,149,43.9,72.9,17.3,7.5,11.7
Industrial_and_miscellaneous_chemicals,424,23.6,84.2,10.2,3.5,13.2
Plastics_and_rubber_products_manufacturing,526,26.2,78.0,14.5,3.9,15.0
Plastics_product_manufacturing,376,27.7,76.8,15.3,4.0,17.4
Tire_manufacturing,62,15.2,71.9,17.4,8.9,4.3
Rubber_product_except_tire_manufacturing,87,27.7,87.4,9.0,0.0,12.5
Wholesale_and_retail_trade,20270,44.7,78.7,11.9,5.6,18.0
Wholesale_trade,3671,28.5,83.2,8.9,5.2,19.2
Motor_vehicle_and_motor_vehicle_parts_and_supplies_merchant_wholesalers,179,20.5,80.5,12.0,4.8,20.3
Furniture_and_home_furnishing_merchant_wholesalers,70,34.0,88.9,3.2,7.1,22.0
Lumber_and_other_construction_materials_merchant_wholesalers,168,22.4,90.6,6.4,2.0,16.3
Professional_and_commercial_equipment_and_supplies_merchant_wholesalers,331,34.7,87.1,7.7,3.7,12.9
Metals_and_minerals_except_petroleum_merchant_wholesalers,49,0,0,0,0,0
Household_appliances_and_electrical_and_electronic_goods_merchant_wholesalers,221,27.5,87.5,5.6,5.4,13.6
Hardware_plumbing_and_heating_equipment_and_supplies_merchant_wholesalers,142,20.2,86.0,6.4,4.4,9.8
Machinery_equipment_and_supplies_merchant_wholesalers,357,26.3,91.4,3.4,2.4,12.4
Recyclable_material_merchant_wholesalers,107,18.4,87.5,7.8,0.5,25.1
Miscellaneous_durable_goods_merchant_wholesalers,72,36.5,89.5,4.6,2.7,28.6
Paper_and_paper_products_merchant_wholesalers,48,0,0,0,0,0
Drugs_sundries_and_chemical_and_allied_products_merchant_wholesalers,223,48.9,73.0,15.5,8.5,12.5
Apparel_piece_goods_and_notions_merchant_wholesalers,95,46.4,72.5,13.7,6.4,30.8
Grocery_and_related_product_merchant_wholesalers,887,24.3,77.4,13.4,5.6,27.9
Farm_product_raw_material_merchant_wholesalers,64,24.4,96.7,1.4,0.3,9.7
Petroleum_and_petroleum_products_merchant_wholesalers,137,16.3,80.0,11.3,5.5,21.0
Alcoholic_beverages_merchant_wholesalers,115,17.9,89.3,6.0,1.5,13.9
Farm_supplies_merchant_wholesalers,55,29.1,92.5,1.7,4.0,10.9
Miscellaneous_nondurable_goods_merchant_wholesalers,191,40.3,82.7,7.0,8.6,18.5
Wholesale_electronic_markets_and_agents_and_brokers,95,36.8,71.0,7.5,19.7,24.5
Not_specified_wholesale_trade,66,33.0,76.1,8.3,14.3,22.3
Retail_trade,16599,48.3,77.7,12.6,5.6,17.7
Automobile_dealers,1362,19.5,84.0,9.2,3.4,19.3
Other_motor_vehicle_dealers,169,24.0,93.1,1.8,0.7,9.9
Automotive_parts_accessories_and_tire_stores,499,19.3,81.7,11.2,2.8,20.9
Furniture_and_home_furnishings_stores,603,42.3,81.2,11.8,4.7,18.7
Household_appliance_stores,71,28.3,72.0,16.4,5.0,19.4
Electronics_stores,510,31.6,77.1,14.0,6.4,20.9
Building_material_and_supplies_dealers,1048,31.3,81.7,9.7,3.1,14.3
Hardware_stores,206,31.0,87.4,5.7,1.3,12.7
Lawn_and_garden_equipment_and_supplies_stores,258,34.3,95.3,3.0,0.8,8.9
Grocery_stores,2788,48.4,75.5,13.5,6.1,19.3
Specialty_food_stores,218,51.1,82.8,8.3,6.2,23.9
Beer_wine_and_liquor_stores,122,31.9,76.0,6.3,16.0,12.4
Pharmacies_and_drug_stores,949,64.9,73.1,12.8,10.3,14.7
Health_and_personal_care_except_drug_stores,397,69.8,78.2,10.3,8.1,17.8
Gasoline_stations,478,50.7,73.6,11.2,9.1,14.3
Clothing_stores,974,76.2,76.6,12.8,7.3,23.2
Shoe_stores,150,54.2,68.7,20.6,6.0,28.4
Jewelry_luggage_and_leather_goods_stores,177,64.1,86.1,4.1,8.5,15.7
Sporting_goods_and_hobby_and_toy_stores,478,43.4,88.4,4.7,2.5,12.2
Sewing_needlework_and_piece_goods_stores,41,0,0,0,0,0
Musical_instrument_and_supplies_stores,36,0,0,0,0,0
Book_stores_and_news_dealers,106,66.8,72.0,16.6,4.7,10.4
Department_stores_and_discount_stores,1921,60.3,71.4,18.9,4.4,18.4
Miscellaneous_general_merchandise_stores,612,60.0,68.3,21.3,4.7,20.8
Retail_florists,94,67.6,88.2,8.9,1.5,7.7
Office_supplies_and_stationery_stores,150,37.6,76.9,11.6,8.0,15.3
Used_merchandise_stores,247,66.8,83.3,11.2,2.3,14.3
Gift_novelty_and_souvenir_shops,129,73.0,84.8,8.3,5.3,8.7
